round,id,카드내용
1,1-1,“두개골은 꼬리보다 오래 남았다.” → 머리뼈 조각은 꼬리뼈 조각보다 많다.
1,1-2,“이 공룡은 몸집이 꽤 컸다.” → 몸통뼈 조각은 많은 편이다.
1,1-3,“꼬리는 생각보다 짧았다.” → 꼬리뼈 조각은 네 부위 중 적은 편이다.
1,1-4,“발자국 화석이 두개골 흔적보다 더 자주 발견된다.” → 다리뼈 조각은 머리뼈 조각보다 많다.
1,1-5,“네 부위 중 세 부위는 30개 안팎이거나 그 이상이다.”
1,1-6,“몸통과 꼬리를 합친 흔적은 머리와 다리를 합친 흔적과 비슷하다.”
1,1-7,비교 감정권: 원하는 두 부위를 골라 어느 쪽이 더 많은지 디렉터에게 1회 질문할 수 있다.
1,1-8,“복원 기록에는 ‘작은 꼬리 튼튼한 다리’라는 문장이 남아 있다.”
2,2-1,몸통뼈 조각은 다리뼈 조각보다 많다.
2,2-2,다리뼈 조각은 머리뼈 조각보다 많다.
2,2-3,머리뼈 조각은 꼬리뼈 조각보다 많다.
2,2-4,꼬리뼈 조각은 전체 뼈 조각의 1/4보다 적다.
2,2-5,몸통뼈 조각은 전체 뼈 조각의 1/3 정도에 가깝다.
2,2-6,다리뼈 조각은 전체 뼈 조각의 1/4보다 많다.
2,2-7,“이 공룡은 머리보다 다리의 흔적이 더 선명하다.”
2,2-8,비교 감정권: 원하는 두 부위를 골라 어느 쪽이 더 많은지 디렉터에게 1회 질문할 수 있다.
3,3-1,몸통뼈 조각은 40개 이상이다.
3,3-2,꼬리뼈 조각은 30개 미만이다.
3,3-3,머리뼈 조각은 25개 이상이다.
3,3-4,다리뼈 조각은 35개 이상이다.
3,3-5,몸통뼈와 꼬리뼈를 합치면 전체의 절반과 거의 비슷하다.
3,3-6,머리뼈와 다리뼈를 합치면 전체의 절반과 거의 비슷하다.
3,3-7,기준 감정권: 원하는 부위 하나를 골라 그 부위가 35개 이상인지 디렉터에게 1회 질문할 수 있다.
3,3-8,“몸통은 거대하지만 꼬리까지 압도적으로 길지는 않다.”
4,4-1,네 부위 중 정확히 두 부위는 짝수 개이다.
4,4-2,다리뼈 조각은 짝수 개이다.
4,4-3,꼬리뼈 조각은 4의 배수이다.
4,4-4,머리뼈 조각은 5의 배수가 아니다.
4,4-5,몸통뼈 조각은 홀수 개이다.
4,4-6,“머리와 몸통의 기록에는 홀수 표식이 남아 있다.”
4,4-7,홀짝 감정권: 원하는 부위 하나를 골라 그 부위가 홀수인지 짝수인지 디렉터에게 1회 질문할 수 있다.
4,4-8,“꼬리는 짧지만 규칙적으로 배열되어 있다.”
5,5-1,몸통뼈 조각은 45개 이상 50개 미만이다.
5,5-2,다리뼈 조각은 35개 이상 40개 이하이다.
5,5-3,머리뼈 조각은 30개 근처이다.
5,5-4,꼬리뼈 조각은 25개보다 적다.
5,5-5,몸통뼈 조각은 꼬리뼈 조각보다 20개 이상 많다.
5,5-6,다리뼈 조각은 머리뼈 조각보다 5개 이상 많다.
5,5-7,차이 감정권: 원하는 두 부위를 골라 두 부위의 차이가 10개 이상인지 디렉터에게 1회 질문할 수 있다.
5,5-8,“몸통은 압도적으로 많지만 다리와의 차이가 터무니없이 크지는 않다.”
6,6-1,전체 뼈 조각 수는 140개 근처이다.
6,6-2,머리뼈 조각과 꼬리뼈 조각의 차이는 한 자리 수이다.
6,6-3,몸통뼈 조각과 다리뼈 조각의 차이는 10개보다 작다.
6,6-4,머리뼈 조각과 다리뼈 조각의 차이는 10개보다 작다.
6,6-5,꼬리뼈 조각은 20대 중반에 가깝다.
6,6-6,몸통뼈 조각은 50개를 넘지 않는다.
6,6-7,최종 감정권: 원하는 부위 하나를 골라 디렉터에게 “이 부위가 30개 이상인가요?” 또는 “40개 이상인가요?” 중 하나를 1회 질문할 수 있다.
6,6-8,“복원 직전 기록: 몸통 > 다리 > 머리 > 꼬리 순서가 가장 유력하다.”
